OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_AREANAME,FMR_CODE,FMR_4PLUSBDR,Shape__Area,Shape__Length
1302,488,585,704,916,1102,"Randolph County, IL",NCNTY17157N17157,1102,2498470313.58984,243899.01857904
1303,520,550,727,973,1140,"Benewah County, ID",NCNTY16009N16009,1140,4399034942.14844,293621.120179031
1304,473,527,697,873,1051,"Schuyler County, IL",NCNTY17169N17169,1051,1959119046.39844,243913.861433594
1305,473,527,697,873,942,"Scott County, IL",NCNTY17171N17171,942,1105585045.82422,145685.734619751
1306,473,558,697,1008,1149,"Shelby County, IL",NCNTY17173N17173,1149,3335016043.98438,275206.811527295
1307,462,527,697,894,1105,"Stephenson County, IL",NCNTY17177N17177,1105,2681450053.21875,208681.379309079
1308,442,520,688,862,1105,"Pike County, IN",NCNTY18125N18125,1105,1440620034.62109,216573.255894804
1309,479,552,688,906,988,"Pulaski County, IN",NCNTY18131N18131,988,1980262579.14453,180009.841142629
1310,501,520,688,918,938,"Ottawa County, KS",NCNTY20143N20143,938,3109241779.37891,224409.142261924
1311,501,547,688,900,1002,"Pawnee County, KS",NCNTY20145N20145,1002,3168401910.38672,248062.834456601
1312,490,587,672,922,979,"Phillips County, KS",NCNTY20147N20147,979,3928172345.40625,250639.001999905
1313,531,572,729,913,1243,"Pratt County, KS",NCNTY20151N20151,1243,3044650856.53125,221747.938714698
1314,490,508,672,842,979,"Rawlins County, KS",NCNTY20153N20153,979,4696876212.82422,275575.186067073
1315,468,551,729,913,1040,"Reno County, KS",NCNTY20155N20155,1040,5308121083.75,300496.874550295
1316,489,570,700,971,1162,"Gladwin County, MI",NCNTY26051N26051,1162,2581980166.92578,205725.922817945
1317,525,579,700,987,1230,"Gogebic County, MI",NCNTY26053N26053,1230,6230580355.65625,502071.53829232
1318,623,762,892,1201,1338,"Grand Traverse County, MI",NCNTY26055N26055,1338,2510453205.42969,316618.466772486
1319,450,529,700,877,946,"Gratiot County, MI",NCNTY26057N26057,946,2795572899.46484,212714.81535439
1320,522,541,716,923,970,"Hillsdale County, MI",NCNTY26059N26059,970,2839217439.69531,214499.475731155
1321,479,536,700,898,1222,"Houghton County, MI",NCNTY26061N26061,1222,5776254037.44531,445333.484926797
